1 weevil detection(s) on | Sun Mar 21 19:04:15 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 124 
1 weevil detection(s) on | Sun Mar 21 19:04:16 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 125 
1 weevil detection(s) on | Sun Mar 21 19:04:17 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 126 
1 weevil detection(s) on | Sun Mar 21 19:04:18 2021 | confidence: 0.82 x= 639 y=1064 ImageNr: 127 
1 weevil detection(s) on | Sun Mar 21 19:04:18 2021 | confidence: 0.96 x=1032 y= 377 ImageNr: 128 
1 weevil detection(s) on | Sun Mar 21 19:04:19 2021 | confidence: 0.84 x= 639 y=1064 ImageNr: 129 
1 weevil detection(s) on | Sun Mar 21 19:04:19 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 130 
1 weevil detection(s) on | Sun Mar 21 19:04:20 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 131 
1 weevil detection(s) on | Sun Mar 21 19:04:21 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 132 
1 weevil detection(s) on | Sun Mar 21 19:04:22 2021 | confidence: 0.96 x=1032 y= 377 ImageNr: 133 
1 weevil detection(s) on | Sun Mar 21 19:04:23 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 134 
1 weevil detection(s) on | Sun Mar 21 19:04:24 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 135 
1 weevil detection(s) on | Sun Mar 21 19:04:25 2021 | confidence: 0.94 x=1032 y= 378 ImageNr: 136 
1 weevil detection(s) on | Sun Mar 21 19:04:27 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 137 
1 weevil detection(s) on | Sun Mar 21 19:04:28 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 138 
1 weevil detection(s) on | Sun Mar 21 19:04:29 2021 | confidence: 0.94 x=1031 y= 377 ImageNr: 139 
